ModifierAttack=8, "+ Attack"
ModifierBetterItems=8, "% Better Items"
ModifierComputers=21, "+ Computers"
ModifierChipSocket=1, "Socket"
ModifierEngineering=21, "+ Engineering"
ModifierHelmsman=21, "+ Helm"
ModifierStructural=21, "+ Structure"
ModifierTactical=21, "+ Tactical"
ModifierComputersSpecialized=21, "+ Computers (Specialized)"
ModifierEngineeringSpecialized=21, "+ Engineering (Specialized)"
ModifierHelmsmanSpecialized=21, "+ Helm (Specialized)"
ModifierStructuralSpecialized=21, "+ Structure (Specialized)"
ModifierTacticalSpecialized=21, "+ Tactical (Specialized)"
ModifierCriticalHit=8, "% Critical Hit"
ModifierDefense=9, "+ Defense"
ModifierDurabilityMult=8, "% Durability"
ModifierMaxPowerLoad=7, "+ Max Power Load"
ModifierMoney=7, "% Extra Credits"
ModifierMoreItems=7, "% More Items"
ModifierPowerLoad=7, "+ Power Load"
ModifierResistanceEM=6, "+ EM Resistance"
ModifierResistanceExplosion=6, "+ Explosion Resistance"
ModifierResistanceKinetic=6, "+ Kinetic Resistance"
ModifierResistanceRadiation=6, "+ Radiation Resistance"
ModifierResistanceThermal=16, "+ Thermal Resistance"
ModifierThrust=7, "+ Thrust"
ModifierUnbreakable=1, "Unbreakable"
